"","location","continent","total_cases_per_million","gdp_per_capita","total_deaths_per_million","extreme_poverty"
"39228","Cayman Islands","North America",452489.741,49903.029,509.298,NA
"40196","Central African Republic","Africa",2740.383,661.24,20.254,NA
"41160","Chad","Africa",430.563,1768.153,10.946,38.4
"42149","Chile","South America",244811.55,22767.037,3155.164,1.3
"43170","China","Asia",743.593,15308.712,3.665,0.7
"44147","Colombia","South America",121647.234,13254.949,2734.509,4.5
"45069","Comoros","Africa",10610.875,1413.89,192.404,18.1
"46037","Congo","Africa",4160.002,4881.406,64.652,37
"46573","Cook Islands","Oceania",375117.426,NA,58.713,NA
"47550","Costa Rica","North America",219735.965,15524.995,1738.909,1.3
"48522","Cote d'Ivoire","Africa",3118.902,3601.006,29.438,28.2
"49509","Croatia","Europe",309807.236,22669.797,4266.119,0.7
"50480","Cuba","North America",99115.089,NA,760.779,NA
"51449","Curacao","North America",237946.781,NA,1532.643,NA
"52423","Cyprus","Europe",672608.585,32415.132,1339.275,NA
"53405","Czechia","Europe",396588.619,32605.906,3969.891,NA
"54377","Democratic Republic of Congo","Africa",941.509,808.133,14.594,77.1
"55387","Denmark","Europe",567619.685,46682.515,1260.23,0.2
"56352","Djibouti","Africa",13998.292,2705.406,168.622,22.5
"57313","Dominica","North America",216608.483,9673.367,1017.07,NA
"58295","Dominican Republic","North America",57657.433,14600.861,390.424,1.6
"59277","Ecuador","South America",56054.88,10581.936,1996.222,3.6
"60275","Egypt","Africa",4645.865,10550.206,223.425,1.3
"61239","El Salvador","North America",31845.405,7292.458,667.572,2.2
"62197","England","Europe",NA,NA,NA,NA
"63165","Equatorial Guinea","Africa",10253.649,22604.873,109.259,NA
"64127","Eritrea","Africa",2765.713,1510.459,27.958,NA
"65136","Estonia","Europe",457971.863,29481.252,2072.298,0.5
"66105","Eswatini","Africa",61262.566,7738.975,1183.343,NA
"67075","Ethiopia","Africa",4004.59,1729.927,61.371,26.7
"68095","Europe","",318318.455,NA,2640.381,NA
"69115","European Union","",387918.347,NA,2587.92,NA
"70094","Faeroe Islands","Europe",652484.139,NA,527.138,NA
"71042","Falkland Islands","South America",507761.115,NA,NA,NA
"72055","Fiji","Oceania",73426.84,8702.975,944.321,1.4
"73069","Finland","Europe",245584.484,40585.721,1216.623,NA
"74088","France","Europe",546120.228,38605.671,2322.534,NA
"75058","French Polynesia","Oceania",250623.588,NA,2118.893,NA
"76027","Gabon","Africa",20487.677,16562.413,128.087,3.4
"76993","Gambia","Africa",4648.937,1561.767,137.473,10.1
"77979","Georgia","Asia",476750.655,9745.079,4516.63,4.2
"78995","Germany","Europe",430429.445,45229.245,1856.607,NA
"79964","Ghana","Africa",5104.991,4227.63,43.614,12
"80943","Gibraltar","Europe",615754.2,NA,3305.077,NA
"81929","Greece","Europe",499653.73,24574.382,3249.888,1.5
"82896","Greenland","North America",211898.609,NA,371.721,NA
"83857","Grenada","North America",156258.22,13593.877,1889.063,NA
"84686","Guam","Oceania",NA,NA,NA,NA
"85681","Guatemala","North America",64032.42,7423.808,1115.618,8.7
"86216","Guernsey","Europe",NA,NA,NA,NA
"87186","Guinea","Africa",2750.634,1998.926,33.046,35.3
"88144","Guinea-Bissau","Africa",4202.168,1548.675,83.587,67.1
"89115","Guyana","South America",88347.489,7435.047,1583.971,NA
"90078","Haiti","North America",2919.982,1653.173,74.234,23.5
"91099","High income","",315874.071,NA,2170.826,NA
"92071","Honduras","North America",43822.699,4541.795,1058.099,16
"93091","Hong Kong","Asia",260772.964,56054.92,1398.744,NA
"94071","Hungary","Europe",214853.786,26777.561,4809.525,0.5
"95055","Iceland","Europe",553953.709,46482.958,587.284,0.2
"96068","India","Asia",31513.647,6426.674,374.343,21.2
"97049","Indonesia","Asia",23684.531,11188.744,576.661,5.7
"98054","International","",NA,NA,NA,NA
"99047","Iran","Asia",85358.03,19082.62,1632.965,0.2
"100035","Iraq","Asia",55327.448,15663.986,569.96,2.5
"101018","Ireland","Europe",333193.115,67335.293,1605.779,0.2
"101981","Isle of Man","Europe",449617.905,NA,1372.229,NA
"102973","Israel","Asia",496259.075,33132.32,1245.317,0.5
"103985","Italy","Europe",400457.713,35220.084,3039.358,2
"104957","Jamaica","North America",53843.45,8193.571,1184.488,NA
"105978","Japan","Asia",183410.108,39002.223,380.592,NA
"106574","Jersey","Europe",NA,NA,NA,NA
"107554","Jordan","Asia",154794.998,8337.49,1251.299,0.1
